task to served: 5
0 ; cpu 0 ; task: 0; queue: 0
1 ; cpu: 100 ; task: first; queue: five
2 ; cpu: 100 ; task: first; queue: second; five
3 ; cpu: 100 ; task: first; queue: first; second; five
4 ; cpu: 100 ; task: first; queue: third; second; five
5 ; cpu: 100 ; task: third; queue: second; five
6 ; cpu: 100 ; task: second; queue: 0
7 ; cpu: 100 ; task: second; queue: 0
8 ; cpu: 100 ; task: second; queue: 0
9 ; cpu: 100 ; task: five; queue: 0
10 ; cpu: 100 ; task: five; queue: 0
11 ; cpu: 100 ; task: five; queue: 0
12 ; cpu: 100 ; task: five; queue: 0
13 ; cpu 0 ; task: 0; queue: 0
14 ; cpu 0 ; task: 0; queue: 0
15 ; cpu 0 ; task: 0; queue: 0
16 ; cpu 0 ; task: 0; queue: 0
17 ; cpu 0 ; task: 0; queue: 0
18 ; cpu 0 ; task: 0; queue: 0
19 ; cpu 0 ; task: 0; queue: 0
20 ; cpu 0 ; task: 0; queue: 0
21 ; cpu 0 ; task: 0; queue: 0
22 ; cpu 0 ; task: 0; queue: 0
23 ; cpu: 100 ; task: for; queue: 0
24 ; cpu: 100 ; task: for; queue: 0
25 ; cpu: 100 ; task: for; queue: 0
end served
